subject,author,like,link,genre,rating,subscribe,episode,upload,present,avg_like
ระยะหัวใจ ใกล้แค่30นาที,ลีอนโด,642524.0,https://www.webtoons.com/th/heartwarming/30fen/list?title_no=1764,อบอุ่นหัวใจ,9.92,158800.0,106.0,วันอังคาร,ยังไม่จบ,6061.55
Blooming Days ก่อนดอกรักจะผลิบาน,Siradasue,57349.0,https://www.webtoons.com/th/romance/blooming-days/list?title_no=2457,โรแมนซ์,9.88,60800.0,14.0,วันศุกร์,ยังไม่จบ,4096.36
เปลี่ยนยัยตัวร้ายให้เป็นยัยน่ารัก,Yoo Jong Pyo,400014.0,https://www.webtoons.com/th/romance/girl-bully/list?title_no=1626,โรแมนซ์,8.79,268200.0,102.0,วันอาทิตย์,ยังไม่จบ,3921.71
Sweetie Calories ฟิตหุ่นลุ้นรัก,JISARA,55041.0,https://www.webtoons.com/th/romance/sweetie-calories/list?title_no=2418,โรแมนซ์,8.36,50900.0,19.0,วันเสาร์,ยังไม่จบ,2896.89
ตกหลุมรัก นายช่างแต่งหน้า,LEE YEON,774284.0,https://www.webtoons.com/th/drama/makeupman/list?title_no=1614,ดราม่า,9.72,328200.0,106.0,วันจันทร์,ยังไม่จบ,7304.57
Marry Me ถ้าให้ดีมาแต่งงานกัน,Miku Yuki,250614.0,https://www.webtoons.com/th/romance/marry-me/list?title_no=1927,โรแมนซ์,9.87,109000.0,62.0,วันจันทร์,ยังไม่จบ,4042.16
รักใสๆ ของยอนอู,ลีซล,91978.0,https://www.webtoons.com/th/romance/yeonwoo/list?title_no=2335,โรแมนซ์,9.84,77300.0,25.0,วันอังคาร,ยังไม่จบ,3679.12
รุ่นพี่ ลิปนี้อย่าทาเลยครับ,Cafelatte / JINHA,48558.0,https://www.webtoons.com/th/romance/sunbae-lipstick/list?title_no=2436,โรแมนซ์,9.33,76200.0,16.0,วันศุกร์,ยังไม่จบ,3034.88
ดอกไม้ของแวมไพร์,BULSA,495790.0,https://www.webtoons.com/th/romantic-fantasy/the-flower-of-vampire/list?title_no=1602,โรแมนซ์แฟนตาซี,9.73,251000.0,101.0,วันจันทร์,ยังไม่จบ,4908.81
เรื่องเล่าของพี่สาวที่ออฟฟิศ,วาซักบาซัก / คิมจาเน,47335.0,https://www.webtoons.com/th/romance/office-her/list?title_no=2387,โรแมนซ์,9.59,65600.0,20.0,วันพฤหัสบดี,ยังไม่จบ,2366.75
แกล้งรักพิสูจน์ใจ,Liang Azha,267894.0,https://www.webtoons.com/th/bl-gl/starting-with-a-lie/list?title_no=1889,วาย,9.89,133700.0,65.0,วันพุธ,ยังไม่จบ,4121.45
Mermaid's Classroom คลาสเรียนลับฉบับนางเงือก,ยงชาน,395891.0,https://www.webtoons.com/th/romance/swimmingclass/list?title_no=1711,โรแมนซ์,9.77,183700.0,90.0,วันเสาร์,ยังไม่จบ,4398.79
ลีดูนา!,มินซงอา,300479.0,https://www.webtoons.com/th/romance/doonanoona/list?title_no=1763,โรแมนซ์,9.75,172400.0,84.0,วันพุธ,ยังไม่จบ,3577.13
Age Matters วุ่นรักต่างวัย เจ้านายสุดแสบ,ENJELICIOUS,376164.0,https://www.webtoons.com/th/romance/age-matters/list?title_no=1732,โรแมนซ์,9.8,201000.0,88.0,วันจันทร์,ยังไม่จบ,4274.59
Back to You... ย้อนเวลามาหารัก,ฮันนี่ บี,110493.0,https://www.webtoons.com/th/romance/back-to-you/list?title_no=2279,โรแมนซ์,9.8,92100.0,31.0,วันเสาร์,ยังไม่จบ,3564.29
รักวุ่นๆ ของ บ.ก. สาวหน้าจืด,Nakano Mayaka,186843.0,https://www.webtoons.com/th/romance/love-blooms-late/list?title_no=1980,โรแมนซ์,9.58,115700.0,58.0,วันอาทิตย์,ยังไม่จบ,3221.43
It's Mine เธอเป็นของฉัน,LuckS,548004.0,https://www.webtoons.com/th/thriller/mine/list?title_no=1633,ระทึกขวัญ,9.81,238500.0,102.0,วันอังคาร,ยังไม่จบ,5372.59
สูตรลับฉบับเลิฟ,นัมซู,91818.0,https://www.webtoons.com/th/romance/guide-to-a-good-date/list?title_no=2286,โรแมนซ์,9.91,64300.0,30.0,วันเสาร์,ยังไม่จบ,3060.6
สัญญาเดทกับซาตาน,ชางจิน / อุมบี,369169.0,https://www.webtoons.com/th/romance/devil-no-4/list?title_no=1868,โรแมนซ์,9.74,217700.0,70.0,วันอาทิตย์,ยังไม่จบ,5273.84
เกลียดนักต้องมารักคนอย่างเธอ,Egg Burge / bless,75560.0,https://www.webtoons.com/th/romance/zuitaoyandeni/list?title_no=2340,โรแมนซ์,9.54,108500.0,27.0,วันอังคาร,ยังไม่จบ,2798.52
คุณหนูเกรซที่รัก,Hilde / Mokma,98768.0,https://www.webtoons.com/th/bl-gl/taming-grace/list?title_no=2219,วาย,9.84,73500.0,34.0,วันศุกร์,ยังไม่จบ,2904.94
7 จอมมาร,doublebee,74282.0,https://www.webtoons.com/th/romantic-fantasy/seven-demons/list?title_no=2318,โรแมนซ์แฟนตาซี,9.84,66200.0,28.0,วันพฤหัสบดี,ยังไม่จบ,2652.93
RAIN วันที่ฝนเผาใจ,Queen B / Mungonfly,61488.0,https://www.webtoons.com/th/romance/rain/list?title_no=2373,โรแมนซ์,9.66,62100.0,22.0,วันอังคาร,ยังไม่จบ,2794.91
ในคำโกหก มีความรักซ่อนอยู่,Aporo Kawai,26418.0,https://www.webtoons.com/th/romance/usonimokoigairu/list?title_no=2391,โรแมนซ์,9.58,36000.0,14.0,วันพุธ,ยังไม่จบ,1887.0
เมื่อซินเดอเรลล่าตื่นจากฝัน,ซันชา / ไอโกเม,67354.0,https://www.webtoons.com/th/romance/cinderella/list?title_no=2341,โรแมนซ์,9.41,81400.0,26.0,วันอังคาร,ยังไม่จบ,2590.54
ไอดอลหนุ่มแปลงโฉม,ลีโน / โกจีแอ,80621.0,https://www.webtoons.com/th/drama/reproducing/list?title_no=2218,ดราม่า,9.67,66900.0,35.0,วันพฤหัสบดี,ยังไม่จบ,2303.46
UNLUCKY TODAY,โกลิง,26495.0,https://www.webtoons.com/th/romance/unlucky-today/list?title_no=2459,โรแมนซ์,9.6,33200.0,16.0,วันอาทิตย์,ยังไม่จบ,1655.94
รักตามสั่ง ดั่ง Home Delivery,Komut.art,24601.0,https://www.webtoons.com/th/romance/home-delivery/list?title_no=2469,โรแมนซ์,9.42,30500.0,16.0,วันจันทร์,ยังไม่จบ,1537.56
CEO's Top Secret,ชินจีวอน / ฮันฮเยริน,94084.0,https://www.webtoons.com/th/romance/ceo/list?title_no=2164,โรแมนซ์,9.46,108300.0,40.0,วันอังคาร,ยังไม่จบ,2352.1
สายใยรักอุดมคติ,ยัดกง,47231.0,https://www.webtoons.com/th/romance/ideal-relationship/list?title_no=2329,โรแมนซ์,9.61,38700.0,29.0,วันจันทร์,ยังไม่จบ,1628.66
จัมป์จากโลกการ์ตูน ขอจูนหัวใจเธอ,นิมนี,52079.0,https://www.webtoons.com/th/romance/out-of-cartoon/list?title_no=2215,โรแมนซ์,9.75,61500.0,35.0,วันพุธ,ยังไม่จบ,1487.97
ไลแลค 200%,อานียอง,36990.0,https://www.webtoons.com/th/romance/lilac/list?title_no=2239,โรแมนซ์,9.11,31000.0,32.0,วันจันทร์,ยังไม่จบ,1155.94
Misterioso,ซงอิลกน / อิเจ,45277.0,https://www.webtoons.com/th/bl-gl/misterioso/list?title_no=2167,วาย,9.66,40600.0,38.0,วันอาทิตย์,ยังไม่จบ,1191.5
รักนี้เกินห้ามใจ,จองซอ,50451.0,https://www.webtoons.com/th/romance/though-i-know/list?title_no=2393,โรแมนซ์,9.67,44400.0,4.0,จบแล้ว,จบแล้ว,12612.75
ขออีกทีนะ,ฮงซึงพโย / คุคุ,38391.0,https://www.webtoons.com/th/drama/one-more-time/list?title_no=1495,ดราม่า,9.76,39400.0,1.0,จบแล้ว,จบแล้ว,38391.0
ล็อกหัวใจนาย Bad Boy,คังฮวันยอง / คิมฮยอนอา,898093.0,https://www.webtoons.com/th/romance/bad-boy/list?title_no=573,โรแมนซ์,9.82,413000.0,101.0,จบแล้ว,จบแล้ว,8892.01
Freaking Romance...ให้ตายสิความรัก ,Snailords,1000000.0,https://www.webtoons.com/th/romance/freaking-romance/list?title_no=572,โรแมนซ์,9.86,525500.0,80.0,จบแล้ว,จบแล้ว,12500.0
โอ้! นายผู้ช่วยของผม,MILA / AngryMonster(Yalgae),552606.0,https://www.webtoons.com/th/bl-gl/oh-my-assistant/list?title_no=1543,วาย,9.8,328200.0,3.0,จบแล้ว,จบแล้ว,184202.0
เลือกสาวเบอร์ 101 เป็นราชินีสิ,STUDIO D / เมนานิก,434343.0,https://www.webtoons.com/th/romantic-fantasy/101st-heroine/list?title_no=1814,โรแมนซ์แฟนตาซี,9.63,192000.0,71.0,จบแล้ว,จบแล้ว,6117.51
Corsair ท่องเวลาล่ารัก,MimuRa / PNJ,177901.0,https://www.webtoons.com/th/romantic-fantasy/corsair/list?title_no=2127,โรแมนซ์แฟนตาซี,9.48,129900.0,30.0,จบแล้ว,จบแล้ว,5930.03
Forbidden Word,AlohaDRY,168643.0,https://www.webtoons.com/th/drama/forbidden-word/list?title_no=1356,ดราม่า,9.74,174900.0,17.0,จบแล้ว,จบแล้ว,9920.18
เปลี่ยนฝันร้ายให้กลายเป็นรัก,MomoJi ももじ,1300000.0,https://www.webtoons.com/th/drama/nightmare/list?title_no=1255,ดราม่า,9.9,824700.0,50.0,จบแล้ว,จบแล้ว,26000.0
ยมทูตเจ้าเสน่ห์,เฮียรี / ซังพิล,947673.0,https://www.webtoons.com/th/romance/sweet-grim-reaper/list?title_no=1520,โรแมนซ์,9.84,428800.0,88.0,จบแล้ว,จบแล้ว,10769.01
แว่วเสียงแห่งรัก,Ann,1300000.0,https://www.webtoons.com/th/romance/the-girls-talk-nothing/list?title_no=949,โรแมนซ์,9.81,686200.0,60.0,จบแล้ว,จบแล้ว,21666.67
ปาฏิหาริย์แห่งกาลเวลา,WakeR,1200000.0,https://www.webtoons.com/th/drama/miracle-of-time/list?title_no=895,ดราม่า,9.72,868500.0,115.0,จบแล้ว,จบแล้ว,10434.78
